"","X","PLOT","P.NP","No.Plants.est","No.Stems","Senescence","Treatment","Sowing","Location","M.Height","M.Thickness","M.Leaves","Year","BioM.Index","BioM.Index_NA","Harvist","Harvist_NA","DW","DW_NA","MC","Germ.First.20","Germ.First.32","Germ.First.50","Germ.15.43","Temp1","Temp5","Temp15","Temp40","Wat1","Wat5","Wat15","Wat40"
"32","V33",16,"NP",20,85,1,"none",2,"Aber",9.3,3.3,5.5,"2013 Dat",790.5,790.5,NA,NA,NA,NA,NA,7.5,14,17.2,15.25,10.194125,9.52255,11.0533305555556,12.0773020833333,0.090875,0.0857916666666667,0.0777861111111111,0.0630322916666667
"33","V34",17,"P",3,16,1,"none",2,"Aber",7.5,3.5,5,"2013 Dat",120,120,NA,NA,NA,NA,NA,4,5.666666667,4.4,4.75,10.194125,9.52255,11.0533305555556,12.0773020833333,0.090875,0.0857916666666667,0.0777861111111111,0.0630322916666667
"34","V35",17,"NP",30,160,3,"none",2,"Aber",9.40625,3.8125,4.9375,"2013 Dat",1505,1505,NA,NA,NA,NA,NA,38.5,49,58.8,55.75,10.194125,9.52255,11.0533305555556,12.0773020833333,0.090875,0.0857916666666667,0.0777861111111111,0.0630322916666667
"35","V36",18,"P",0,0,NA,"Film",1,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,9.93063235294118,10.6708685064935,12.439015969163,NA,0.10775,0.111506493506494,0.104458149779736
"36","V37",18,"NP",0,0,NA,"Film",1,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,9.93063235294118,10.6708685064935,12.439015969163,NA,0.10775,0.111506493506494,0.104458149779736
"37","V38",19,"P",20,68,1,"Film",4,"Aber",14.30769231,4.615384615,4.769230769,"2013 Dat",972.9230771,972.9230771,NA,NA,NA,NA,NA,21.33333333,26,28.85714286,33.4,15.8064583333333,17.3185833333333,18.3055555555556,18.391515625,0.11,0.0963333333333333,0.0792361111111111,0.0818802083333333
"38","V39",19,"NP",40,119,0,"Film",4,"Aber",12.96428571,3.892857143,4.428571429,"2013 Dat",1542.749999,1542.749999,NA,NA,NA,NA,NA,25.33333333,34.2,38.85714286,44.6,15.8064583333333,17.3185833333333,18.3055555555556,18.391515625,0.11,0.0963333333333333,0.0792361111111111,0.0818802083333333
"39","V40",20,"P",2,2,7,"none",4,"Aber",1.75,1.5,3.5,"2013 Dat",3.5,3.5,NA,NA,NA,NA,NA,0,0.4,0.285714286,0.4,12.7243333333333,13.4612833333333,14.4856722222222,15.4950833333333,0.055125,0.0428333333333333,0.0341555555555556,0.0496947916666667
"40","V41",20,"NP",5,12,5,"none",4,"Aber",3.25,3,4.25,"2013 Dat",39,39,NA,NA,NA,NA,NA,0,0.2,3.571428571,3,12.7243333333333,13.4612833333333,14.4856722222222,15.4950833333333,0.055125,0.0428333333333333,0.0341555555555556,0.0496947916666667
"41","V42",21,"P",0,0,NA,"none",5,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,2,1.4,1,1.4,15.3041666666667,15.3346333333333,15.4826861111111,15.0090020833333,0.044375,0.0662916666666667,0.0727944444444444,0.0622989583333333
"42","V43",21,"NP",26,26,4,"none",5,"Aber",2.125,2.75,3.625,"2013 Dat",55.25,55.25,NA,NA,NA,NA,NA,23.33333333,27.6,28.71428571,34,15.3041666666667,15.3346333333333,15.4826861111111,15.0090020833333,0.044375,0.0662916666666667,0.0727944444444444,0.0622989583333333
"43","V44",22,"P",0,0,NA,"Film",3,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,16.7414583333333,15.9905,15.0058541666667,17.3782473958333,0.101125,0.0937416666666667,0.100633333333333,0.0861020833333333
"44","V45",22,"NP",10,57,3,"Film",3,"Aber",8.875,3.875,4.25,"2013 Dat",505.875,505.875,NA,NA,NA,NA,NA,11.5,16,16.57142857,19.4,16.7414583333333,15.9905,15.0058541666667,17.3782473958333,0.101125,0.0937416666666667,0.100633333333333,0.0861020833333333
"45","V46",23,"P",10,52,5,"none",4,"Aber",11.375,4.5,4.75,"2013 Dat",591.5,591.5,NA,NA,NA,NA,NA,6.333333333,11.4,16.42857143,16.6,12.7243333333333,13.4612833333333,14.4856722222222,15.4950833333333,0.055125,0.0428333333333333,0.0341555555555556,0.0496947916666667
"46","V47",23,"NP",10,65,5,"none",4,"Aber",12.05555556,4.222222222,4.777777778,"2013 Dat",783.6111114,783.6111114,NA,NA,NA,NA,NA,16,19.6,25.28571429,27.2,12.7243333333333,13.4612833333333,14.4856722222222,15.4950833333333,0.055125,0.0428333333333333,0.0341555555555556,0.0496947916666667
"47","V48",24,"P",1,3,4,"none",3,"Aber",11,4,5,"2013 Dat",33,33,NA,NA,NA,NA,NA,0,0.25,0.571428571,0.6,14.8895833333333,13.1436166666667,12.4358944444444,14.4056979166667,0.0534583333333333,0.0503083333333333,0.0529638888888889,0.0429708333333333
"48","V49",24,"NP",5,26,5,"none",3,"Aber",5.5,4,5.5,"2013 Dat",143,143,NA,NA,NA,NA,NA,1,5,5.285714286,6.4,14.8895833333333,13.1436166666667,12.4358944444444,14.4056979166667,0.0534583333333333,0.0503083333333333,0.0529638888888889,0.0429708333333333
"49","V50",25,"P",0,0,NA,"none",9,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"50","V51",25,"NP",0,0,NA,"none",9,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"51","V52",26,"P",0,0,NA,"Film",9,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"52","V53",26,"NP",0,0,NA,"Film",9,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"53","V54",27,"P",3,7,6,"none",4,"Aber",4.333333333,2.666666667,4,"2013 Dat",30.33333333,30.33333333,NA,NA,NA,NA,NA,0,0.4,0.714285714,1,12.7243333333333,13.4612833333333,14.4856722222222,15.4950833333333,0.055125,0.0428333333333333,0.0341555555555556,0.0496947916666667
"54","V55",27,"NP",10,22,7,"none",4,"Aber",2.722222222,2.222222222,3.5,"2013 Dat",59.88888888,59.88888888,NA,NA,NA,NA,NA,0,2.6,7.571428571,6.8,12.7243333333333,13.4612833333333,14.4856722222222,15.4950833333333,0.055125,0.0428333333333333,0.0341555555555556,0.0496947916666667
"55","V56",28,"P",0,0,NA,"Film",8,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,1,2,2.6,3.25,NA,NA,NA,NA,NA,NA,NA,NA
"56","V57",28,"NP",0,0,NA,"Film",8,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,2,5.5,7.2,9,NA,NA,NA,NA,NA,NA,NA,NA
"57","V58",29,"P",0,0,NA,"Film",9,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"58","V59",29,"NP",0,0,NA,"Film",9,"Aber",NA,NA,NA,"2013 Dat",0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"59","V60",30,"P",2,2,10,"none",5,"Aber",3,3,3,"2013 Dat",6,6,NA,NA,NA,NA,NA,1.666666667,1.6,1.142857143,1.6,15.3041666666667,15.3346333333333,15.4826861111111,15.0090020833333,0.044375,0.0662916666666667,0.0727944444444444,0.0622989583333333
"60","V61",30,"NP",24,24,9,"none",5,"Aber",2.75,2.125,3.625,"2013 Dat",66,66,NA,NA,NA,NA,NA,15,23.4,26.71428571,30.6,15.3041666666667,15.3346333333333,15.4826861111111,15.0090020833333,0.044375,0.0662916666666667,0.0727944444444444,0.0622989583333333
"61","V62",31,"P",10,38,7,"Film",5,"Aber",6.75,3.9,4.1,"2013 Dat",256.5,256.5,NA,NA,NA,NA,NA,4.666666667,8.8,12.85714286,12.6,18.704375,18.1827916666667,17.9317777777778,17.0981328125,0.074125,0.0843583333333333,0.0955333333333333,0.081990625
"62","V63",31,"NP",50,147,5,"Film",5,"Aber",12.88888889,3.277777778,4.111111111,"2013 Dat",1894.666667,1894.666667,NA,NA,NA,NA,NA,43.66666667,63,79.42857143,85,18.704375,18.1827916666667,17.9317777777778,17.0981328125,0.074125,0.0843583333333333,0.0955333333333333,0.081990625
"63","V64",32,"P",9,9,8,"Film",6,"Aber",4,2.75,4.25,"2013 Dat",36,36,NA,NA,NA,NA,NA,5,12.25,16.71428571,21,16.6435416666667,16.9225,16.3443541666667,15.6169027777778,0.0645416666666667,0.0622833333333333,0.0622333333333333,0.0705654761904762
"64","V65",32,"NP",15,15,9,"Film",6,"Aber",3.428571429,1.571428571,3.428571429,"2013 Dat",51.42857144,51.42857144,NA,NA,NA,NA,NA,8,17,22.57142857,27.2,16.6435416666667,16.9225,16.3443541666667,15.6169027777778,0.0645416666666667,0.0622833333333333,0.0622333333333333,0.0705654761904762
