"","no","Location","PlotID","seed batch","treatment","Sowing","141","161","171","183","190","197","204","211","217","227","231","239","246","255","259","267","273","281","288","295","309","323","336","283","Germ.First.20","Germ.First.32","Germ.First.50","Germ.15.43"
"59",59,"Aber",30,"Sin55_primed","none",5,NA,NA,NA,NA,NA,NA,NA,0,0,5,3,0,0,0,0,0,0,4,2,2,3,1,2,0,1.66666666666667,1.6,1.14285714285714,1.6
"60",60,"Aber",30,"sin55_unprimed","none",5,NA,NA,NA,NA,NA,NA,NA,0,5,40,37,35,36,34,24,27,27,40,30,33,32,26,24,10,15,23.4,26.7142857142857,30.6
"61",61,"Aber",31,"Sin55_primed","Film",5,NA,NA,NA,NA,NA,NA,NA,0,0,14,14,16,19,27,30,29,30,34,33,32,33,32,38,42,4.66666666666667,8.8,12.8571428571429,12.6
"62",62,"Aber",31,"sin55_unprimed","Film",5,NA,NA,NA,NA,NA,NA,NA,0,39,92,90,94,110,131,134,147,151,178,180,167,169,179,147,196,43.6666666666667,63,79.4285714285714,85
"63",63,"Aber",32,"Sin55_primed","Film",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,19,20,28,28,12,12,12,10,9,9,12,5,12.25,16.7142857142857,21
"64",64,"Aber",32,"sin55_unprimed","Film",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,27,25,34,34,22,22,22,8,9,15,12,8,17,22.5714285714286,27.2
"65",65,"Aber",33,"Sin55_primed","Film",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,24,21,17,17,16,16,16,0,4,10,0,6.5,14.5,15.4285714285714,18.4
"66",66,"Aber",33,"sin55_unprimed","Film",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,45,47,39,39,25,25,25,0,9,13,4,12,29,31.2857142857143,38.8
"67",67,"Aber",34,"Sin55_primed","Film",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,9,9,8,5,3,0,0,0.666666666666667,2.6,4.28571428571429,4.4
"68",68,"Aber",34,"sin55_unprimed","Film",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,23,23,16,16,34,46,35,33,2,8,12.6,16.1428571428571,15.6
"69",69,"Aber",35,"Sin55_primed","Film",5,NA,NA,NA,NA,NA,NA,NA,0,7,14,12,9,18,18,19,18,18,19,18,19,19,21,23,0,7,8.4,11.1428571428571,12
"70",70,"Aber",35,"sin55_unprimed","Film",5,NA,NA,NA,NA,NA,NA,NA,0,20,46,38,31,33,44,46,57,57,57,58,57,58,64,54,91,22,27,30.2857142857143,33.6
"71",71,"Aber",36,"Sin55_primed","Film",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,7,5,6,6,5,5,7,3,3,8,0,2.5,4.25,4.85714285714286,5.8
"72",72,"Aber",36,"sin55_unprimed","Film",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,48,64,60,73,73,44,44,26,21,22,27,20,24,43,51.7142857142857,63.6
"73",73,"Aber",37,"Sin55_primed","Film",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,11,10,5,0,0,1.66666666666667,4,5.2,6.5
"74",74,"Aber",37,"sin55_unprimed","Film",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11,17,14,11,0,0,3.66666666666667,7,8.4,10.5
"75",75,"Aber",38,"Sin55_primed","none",1,0,4,8,5,2,2,2,1,1,0,0,0,0,0,0,0,0,1,1,1,3,3,1,0,0,0,4,4
"76",76,"Aber",38,"sin55_unprimed","none",1,0,4,6,6,4,3,3,3,2,0,0,0,0,0,0,4,4,6,6,6,5,6,5,22,0,0,3.33333333333333,3.33333333333333
